timestamp,query_name,transaction_id,ttl,response_ip
2024-12-17 13:33:01.790899,example83.com,3588,0,192.168.1.23
2024-12-17 12:51:18.790899,example52.com,6973,0,192.168.1.38
2024-12-17 12:36:56.790899,example99.com,39284,0,192.168.1.65
2024-12-17 12:41:15.790899,example69.com,44382,0,192.168.1.210
2024-12-17 12:39:16.790899,example54.com,47187,0,192.168.1.191
2024-12-17 12:48:46.790899,example15.com,11576,60,192.168.1.191
2024-12-17 12:57:41.790899,example92.com,64321,60,192.168.1.247
2024-12-17 13:11:28.790899,example66.com,41975,300,192.168.1.232
2024-12-17 13:10:39.790899,example96.com,32930,300,192.168.1.72
2024-12-17 13:10:36.790899,example27.com,39609,120,192.168.1.191
2024-12-17 13:34:59.790899,example47.com,54853,300,192.168.1.7
2024-12-17 13:18:12.790899,example41.com,47204,0,192.168.1.156
2024-12-17 13:24:01.790899,example65.com,30133,120,192.168.1.34
2024-12-17 13:34:44.790899,example72.com,13699,0,192.168.1.166
2024-12-17 13:28:53.790899,example59.com,24060,60,192.168.1.204
2024-12-17 13:13:54.790899,example88.com,52224,0,192.168.1.105
2024-12-17 13:25:07.790899,example83.com,60600,60,192.168.1.81
2024-12-17 13:21:58.790899,example46.com,48325,60,192.168.1.116
2024-12-17 12:48:11.790899,example34.com,50098,300,192.168.1.94
2024-12-17 12:48:59.790899,example12.com,58797,120,192.168.1.253
2024-12-17 13:17:54.790899,example87.com,44890,120,192.168.1.52
2024-12-17 13:24:10.790899,example92.com,26656,120,192.168.1.73
2024-12-17 13:31:37.790899,example54.com,19878,60,192.168.1.138
2024-12-17 13:15:26.790899,example24.com,56646,0,192.168.1.100
2024-12-17 13:10:50.790899,example33.com,59201,0,192.168.1.4
2024-12-17 13:13:54.790899,example88.com,48595,300,192.168.1.109
2024-12-17 13:10:18.790899,example49.com,43070,0,192.168.1.108
2024-12-17 12:37:11.790899,example30.com,44965,60,192.168.1.140
2024-12-17 13:00:56.790899,example78.com,43989,300,192.168.1.185
2024-12-17 12:42:20.790899,example48.com,1294,300,192.168.1.180
2024-12-17 12:58:02.790899,example73.com,16607,120,192.168.1.112
2024-12-17 13:04:21.790899,example100.com,29057,60,192.168.1.97
2024-12-17 13:14:40.790899,example80.com,35949,60,192.168.1.123
2024-12-17 13:17:34.790899,example92.com,19316,120,192.168.1.214
2024-12-17 12:57:57.790899,example55.com,36281,120,192.168.1.97
2024-12-17 13:26:43.790899,example85.com,56135,60,192.168.1.115
2024-12-17 12:57:33.790899,example68.com,48065,60,192.168.1.251
2024-12-17 13:34:02.790899,example88.com,65206,120,192.168.1.210
2024-12-17 13:19:11.790899,example95.com,1403,300,192.168.1.50
2024-12-17 13:05:49.790899,example37.com,59504,300,192.168.1.137
2024-12-17 12:58:35.790899,example38.com,46112,0,192.168.1.45
2024-12-17 13:06:57.790899,example60.com,43612,120,192.168.1.26
2024-12-17 12:43:39.790899,example74.com,30851,60,192.168.1.206
2024-12-17 13:35:14.790899,example91.com,36977,300,192.168.1.9
2024-12-17 12:48:44.790899,example88.com,45431,60,192.168.1.134
2024-12-17 13:19:27.790899,example22.com,57628,60,192.168.1.228
2024-12-17 12:48:33.790899,example29.com,56993,300,192.168.1.217
2024-12-17 12:53:06.790899,example42.com,64323,300,192.168.1.177
2024-12-17 13:13:59.790899,example89.com,39243,120,192.168.1.41
2024-12-17 13:00:22.790899,example28.com,28557,120,192.168.1.124
2024-12-17 12:59:14.790899,example16.com,2996,300,192.168.1.222
2024-12-17 13:34:04.790899,example78.com,6779,300,192.168.1.31
2024-12-17 13:14:49.790899,example29.com,35260,60,192.168.1.96
2024-12-17 13:32:13.790899,example40.com,46747,60,192.168.1.214
2024-12-17 13:32:42.790899,example37.com,12615,0,192.168.1.244
2024-12-17 12:46:32.790899,example59.com,44011,300,192.168.1.197
2024-12-17 13:03:50.790899,example58.com,61020,0,192.168.1.209
2024-12-17 12:51:31.790899,example74.com,54024,120,192.168.1.37
2024-12-17 12:57:46.790899,example70.com,5426,0,192.168.1.192
2024-12-17 13:34:37.790899,example41.com,57313,0,192.168.1.122
2024-12-17 12:44:59.790899,example57.com,51454,300,192.168.1.65
2024-12-17 13:15:41.790899,example43.com,12186,120,192.168.1.253
2024-12-17 13:28:11.790899,example56.com,23260,0,192.168.1.21
2024-12-17 12:51:45.790899,example90.com,28611,300,192.168.1.60
2024-12-17 13:31:18.790899,example87.com,27571,0,192.168.1.72
2024-12-17 12:46:10.790899,example9.com,6812,0,192.168.1.152
2024-12-17 13:16:16.790899,example84.com,38900,60,192.168.1.28
2024-12-17 12:56:14.790899,example20.com,12444,60,192.168.1.149
2024-12-17 13:18:32.790899,example53.com,64529,120,192.168.1.67
2024-12-17 12:37:55.790899,example16.com,18967,120,192.168.1.82
2024-12-17 12:57:41.790899,example49.com,24299,120,192.168.1.186
2024-12-17 13:25:50.790899,example56.com,41392,300,192.168.1.230
2024-12-17 12:47:29.790899,example97.com,40290,120,192.168.1.243
2024-12-17 13:06:17.790899,example79.com,42361,0,192.168.1.65
2024-12-17 13:03:51.790899,example94.com,50813,60,192.168.1.170
2024-12-17 12:40:56.790899,example84.com,61412,120,192.168.1.49
2024-12-17 12:41:35.790899,example7.com,59091,120,192.168.1.194
2024-12-17 13:28:17.790899,example22.com,22019,300,192.168.1.59
2024-12-17 12:38:33.790899,example49.com,28677,120,192.168.1.247
2024-12-17 13:19:38.790899,example79.com,13415,60,192.168.1.194
2024-12-17 13:13:48.790899,example54.com,8926,0,192.168.1.183
2024-12-17 13:21:50.790899,example16.com,10973,300,192.168.1.201
2024-12-17 13:18:23.790899,example21.com,55663,120,192.168.1.27
2024-12-17 12:54:25.790899,example9.com,60500,60,192.168.1.214
2024-12-17 13:33:54.790899,example33.com,9066,0,192.168.1.242
2024-12-17 12:40:05.790899,example38.com,53765,120,192.168.1.12
2024-12-17 13:25:57.790899,example9.com,54855,0,192.168.1.36
2024-12-17 12:39:57.790899,example87.com,37695,300,192.168.1.32
2024-12-17 12:51:54.790899,example19.com,37175,300,192.168.1.27
2024-12-17 13:02:02.790899,example35.com,38573,120,192.168.1.218
2024-12-17 12:53:11.790899,example5.com,64660,0,192.168.1.127
2024-12-17 12:36:29.790899,example72.com,59120,300,192.168.1.94
2024-12-17 13:31:14.790899,example22.com,54506,60,192.168.1.251
2024-12-17 13:07:26.790899,example5.com,46460,60,192.168.1.132
2024-12-17 13:04:41.790899,example41.com,19522,60,192.168.1.19
2024-12-17 13:13:09.790899,example19.com,59615,120,192.168.1.73
2024-12-17 13:06:47.790899,example97.com,58620,300,192.168.1.117
2024-12-17 13:19:17.790899,example9.com,42460,60,192.168.1.190
2024-12-17 13:25:55.790899,example37.com,48854,120,192.168.1.31
2024-12-17 13:28:48.790899,example75.com,31404,60,192.168.1.126
2024-12-17 12:55:40.790899,example35.com,9647,0,192.168.1.13
2024-12-17 12:52:03.790899,example35.com,16133,0,192.168.1.193
2024-12-17 13:08:05.790899,example83.com,51230,300,192.168.1.232
2024-12-17 13:19:09.790899,example97.com,22653,300,192.168.1.14
2024-12-17 13:26:11.790899,example27.com,1363,60,192.168.1.7
2024-12-17 13:26:32.790899,example79.com,38362,120,192.168.1.12
2024-12-17 12:58:13.790899,example15.com,64369,60,192.168.1.254
2024-12-17 13:25:18.790899,example77.com,23224,300,192.168.1.80
2024-12-17 13:21:56.790899,example88.com,12834,60,192.168.1.218
2024-12-17 12:59:27.790899,example52.com,29556,300,192.168.1.106
2024-12-17 13:01:24.790899,example39.com,7304,120,192.168.1.133
2024-12-17 12:42:43.790899,example53.com,62425,120,192.168.1.214
2024-12-17 13:00:33.790899,example36.com,34709,300,192.168.1.47
2024-12-17 13:04:34.790899,example17.com,39834,60,192.168.1.80
2024-12-17 13:14:47.790899,example57.com,26047,300,192.168.1.212
2024-12-17 12:53:40.790899,example34.com,52264,120,192.168.1.91
2024-12-17 13:27:25.790899,example92.com,44248,300,192.168.1.189
2024-12-17 13:35:52.790899,example57.com,42904,300,192.168.1.20
2024-12-17 12:50:30.790899,example10.com,44070,60,192.168.1.185
2024-12-17 12:42:07.790899,example76.com,3297,60,192.168.1.67
2024-12-17 12:53:54.790899,example61.com,64103,60,192.168.1.64
2024-12-17 13:17:08.790899,example34.com,53459,0,192.168.1.253
2024-12-17 13:15:13.790899,example37.com,10401,300,192.168.1.54
2024-12-17 13:32:29.790899,example58.com,18197,120,192.168.1.156
2024-12-17 13:19:11.790899,example71.com,21075,120,192.168.1.243
2024-12-17 13:35:45.790899,example77.com,53566,0,192.168.1.199
2024-12-17 13:14:42.790899,example17.com,18884,60,192.168.1.46
2024-12-17 12:59:14.790899,example27.com,49147,300,192.168.1.87
2024-12-17 12:53:47.790899,example36.com,17287,120,192.168.1.140
2024-12-17 12:37:23.790899,example11.com,14927,0,192.168.1.250
2024-12-17 13:02:06.790899,example65.com,21492,60,192.168.1.118
2024-12-17 12:37:52.790899,example58.com,42454,0,192.168.1.87
2024-12-17 13:10:25.790899,example90.com,3777,120,192.168.1.188
2024-12-17 13:26:07.790899,example58.com,26178,60,192.168.1.91
2024-12-17 13:14:44.790899,example64.com,16443,0,192.168.1.249
2024-12-17 13:17:29.790899,example87.com,370,60,192.168.1.199
2024-12-17 13:10:17.790899,example52.com,24991,120,192.168.1.129
2024-12-17 12:56:04.790899,example59.com,3985,300,192.168.1.158
2024-12-17 13:11:36.790899,example16.com,13616,120,192.168.1.75
2024-12-17 12:37:45.790899,example49.com,16049,60,192.168.1.213
2024-12-17 13:29:42.790899,example85.com,3734,60,192.168.1.114
2024-12-17 12:43:15.790899,example57.com,58015,60,192.168.1.176
2024-12-17 13:26:19.790899,example87.com,52309,120,192.168.1.51
2024-12-17 13:07:29.790899,example60.com,61503,60,192.168.1.10
2024-12-17 13:24:08.790899,example88.com,9010,120,192.168.1.53
2024-12-17 13:01:52.790899,example76.com,57029,60,192.168.1.90
2024-12-17 13:21:32.790899,example79.com,64536,300,192.168.1.60
2024-12-17 13:29:54.790899,example74.com,13056,300,192.168.1.59
2024-12-17 13:07:22.790899,example58.com,17359,0,192.168.1.97
2024-12-17 13:30:54.790899,example30.com,6026,120,192.168.1.83
2024-12-17 12:49:46.790899,example91.com,50135,300,192.168.1.228
2024-12-17 12:39:17.790899,example65.com,22889,0,192.168.1.178
2024-12-17 13:17:58.790899,example79.com,47530,60,192.168.1.139
2024-12-17 13:13:18.790899,example51.com,64831,60,192.168.1.35
2024-12-17 13:26:11.790899,example39.com,60236,300,192.168.1.44
2024-12-17 13:10:32.790899,example67.com,57401,120,192.168.1.226
2024-12-17 12:44:52.790899,example89.com,8057,300,192.168.1.21
2024-12-17 13:12:47.790899,example9.com,34248,120,192.168.1.103
2024-12-17 13:33:56.790899,example84.com,45706,60,192.168.1.190
2024-12-17 12:40:22.790899,example32.com,38918,60,192.168.1.17
2024-12-17 12:50:37.790899,example91.com,35094,60,192.168.1.235
2024-12-17 12:51:09.790899,example62.com,40626,60,192.168.1.202
2024-12-17 13:26:17.790899,example85.com,37955,0,192.168.1.69
2024-12-17 13:06:04.790899,example56.com,32092,300,192.168.1.133
2024-12-17 12:55:30.790899,example19.com,43305,60,192.168.1.169
2024-12-17 13:24:51.790899,example4.com,28586,120,192.168.1.188
2024-12-17 13:17:50.790899,example12.com,48274,60,192.168.1.141
2024-12-17 12:41:32.790899,example30.com,14817,300,192.168.1.163
2024-12-17 13:28:04.790899,example45.com,50050,0,192.168.1.244
2024-12-17 13:31:50.790899,example34.com,1139,60,192.168.1.103
2024-12-17 12:37:43.790899,example81.com,49313,300,192.168.1.5
2024-12-17 13:15:22.790899,example38.com,63579,0,192.168.1.221
2024-12-17 12:51:40.790899,example14.com,46778,120,192.168.1.102
2024-12-17 13:10:41.790899,example71.com,32883,300,192.168.1.104
2024-12-17 13:34:39.790899,example10.com,35700,300,192.168.1.215
2024-12-17 13:26:18.790899,example69.com,30552,300,192.168.1.235
2024-12-17 13:26:12.790899,example82.com,41545,120,192.168.1.41
2024-12-17 13:04:51.790899,example43.com,13280,60,192.168.1.207
2024-12-17 12:57:39.790899,example32.com,9294,120,192.168.1.135
2024-12-17 12:55:29.790899,example34.com,1620,0,192.168.1.163
2024-12-17 12:51:40.790899,example59.com,21142,300,192.168.1.247
2024-12-17 12:46:21.790899,example77.com,49238,60,192.168.1.244
2024-12-17 12:46:30.790899,example14.com,7844,0,192.168.1.131
2024-12-17 13:30:54.790899,example72.com,41422,120,192.168.1.183
2024-12-17 13:19:19.790899,example1.com,18662,120,192.168.1.32
2024-12-17 12:51:35.790899,example27.com,6214,0,192.168.1.171
2024-12-17 13:10:54.790899,example100.com,7316,0,192.168.1.68
2024-12-17 12:42:30.790899,example25.com,51632,300,192.168.1.144
2024-12-17 12:48:42.790899,example41.com,35819,0,192.168.1.19
2024-12-17 13:27:22.790899,example10.com,18113,0,192.168.1.52
2024-12-17 13:01:36.790899,example32.com,63387,60,192.168.1.193
2024-12-17 13:09:55.790899,example72.com,29694,60,192.168.1.252
2024-12-17 12:41:48.790899,example97.com,36445,120,192.168.1.55
2024-12-17 13:18:35.790899,example100.com,22165,60,192.168.1.79
2024-12-17 13:10:07.790899,example58.com,46069,60,192.168.1.127
2024-12-17 13:03:26.790899,example39.com,37841,0,192.168.1.74
2024-12-17 13:04:57.790899,example94.com,45464,300,192.168.1.235
2024-12-17 13:35:04.790899,example67.com,30511,300,192.168.1.98
2024-12-17 13:04:53.790899,example92.com,47474,0,192.168.1.188
2024-12-17 13:30:26.790899,example47.com,55183,60,192.168.1.41
2024-12-17 13:19:57.790899,example32.com,64495,0,192.168.1.196
2024-12-17 13:31:13.790899,example26.com,35629,60,192.168.1.217
2024-12-17 13:03:27.790899,example57.com,6462,60,192.168.1.170
2024-12-17 12:55:15.790899,example8.com,45786,300,192.168.1.178
2024-12-17 12:38:14.790899,example67.com,44557,60,192.168.1.30
2024-12-17 12:51:18.790899,example66.com,62529,60,192.168.1.200
2024-12-17 13:13:27.790899,example43.com,207,120,192.168.1.233
